from,to,t,l,k,flow
source,m8_in,1,l2,k3,5.4857903
m8_in,m8_q_l1,1,l2,k3,5.4857903
m8_q_l1,ss,1,l2,k3,5.4857903
source,m5_in,1,l2,k3,5.4359146
m5_in,m5_q_l2,1,l2,k3,5.4359146
m5_q_l2,ss,1,l2,k3,5.4359146
source,m10_in,2,l2,k2,5.3219793
source,m10_in,2,l1,k5,5.2931972
source,m4_in,2,l1,k5,5.1612921
source,m10_in,1,l2,k2,5.0742638
m10_in,m10_q_l2,1,l2,k2,5.0742638
m10_q_l2,ss,1,l2,k2,5.0742638
source,m6_in,2,l2,k4,5.0268806
m6_in,m9_in,1,l1,k2,0.17700295
