from,to,t,l,k,flow
m1_in,m1_q_l2,3,l2,k5,11.309761
m1_q_l2,ss,3,l2,k5,11.309761
source,m2_in,4,l1,k3,11.27249
source,m6_in,4,l2,k5,11.263094
source,m2_in,3,l1,k3,11.249035
m2_in,m3_in,3,l1,k3,11.249035
source,m2_in,1,l1,k1,11.23953
m2_in,m1_in,1,l1,k1,11.23953
source,m2_in,1,l2,k5,11.128945
m2_in,m2_q_l2,1,l2,k5,11.128945
m2_q_l2,ss,1,l2,k5,11.128945
source,m1_in,3,l1,k4,11.110235
m1_in,m4_in,3,l1,k4,11.110235
m9_in,m9_q_l1,2,l1,k2,11.108694
m9_q_l1,ss,2,l1,k2,11.108694
source,m9_in,2,l1,k3,11.075291
source,m2_in,2,l1,k3,11.030601
m2_in,m3_in,2,l1,k3,11.030601
source,m9_in,4,l2,k4,11.029322
source,m4_in,2,l1,k3,11.006986
m4_in,m3_in,2,l1,k3,11.006986
m9_in,m3_in,1,l1,k3,10.977911
source,m7_in,4,l2,k2,10.974331
source,m8_in,2,l2,k5,10.964869
m8_in,m8_q_l2,2,l2,k5,10.964869
m8_q_l2,ss,2,l2,k5,10.964869
source,m2_in,4,l2,k1,10.944319
source,m3_in,2,l1,k5,10.931769
m3_in,m5_in,2,l1,k5,10.931769
source,m8_in,4,l2,k2,10.874937
source,m2_in,3,l1,k2,10.859366
m9_in,m3_in,2,l1,k3,10.840181
source,m5_in,1,l1,k5,10.826711
source,m5_in,3,l2,k5,10.821755
m5_in,m4_in,3,l2,k5,10.821755
source,m10_in,2,l1,k2,10.807132
m10_in,m2_in,2,l1,k2,10.807132
source,m3_in,4,l2,k2,10.785515
source,m5_in,1,l2,k5,10.740638
m5_in,m8_in,1,l2,k5,10.740638
source,m6_in,1,l2,k1,10.737741
source,m2_in,3,l2,k5,10.72457
m2_in,m2_q_l2,3,l2,k5,10.72457
m2_q_l2,ss,3,l2,k5,10.72457
source,m8_in,4,l1,k1,10.721468
source,m4_in,3,l1,k4,10.690037
source,m8_in,3,l2,k4,10.681032
m8_in,m8_q_l2,3,l2,k4,10.681032
m8_q_l2,ss,3,l2,k4,10.681032
source,m5_in,1,l1,k3,10.65642
m5_in,m3_in,1,l1,k3,10.65642
source,m10_in,1,l1,k1,10.645703
